titre_lieu,url_fiche,description,date_cree,date_revision,arrondissements,types,installations,activites,commodites,accessibilite,categories,statut_ouverture,horaire_par_jour,commentaires_horaire,reglementation,paiement,telephone,courriel,titre_lieu_adresse_postale,adresse_principale,adresse_secondaire,code_postal,ville,lat,long,X,Y
"Comptoir de la géomatique","https://montreal.ca/lieux/comptoir-de-la-geomatique","Le comptoir de la géomatique vous accueille 2 jours par semaine. Vous pouvez également nous envoyer vos demandes par courriel.Consultez la liste des cartes et plans disponibles et les coûts.","2022-03-25","2023-09-15","Ville-Marie","Points de service","Édifice administratif","","Air climatisé,Fontaine d'eau potable,Support à vélo,Toilettes","Adapté aux poussettes,Ascenseur,Entrée de plain-pied,Toilettes accessibles,Zone de débarcadère","Organisation municipale","Ouvert"," Horaire [Mardi, ouverture:09:00, fermeture:15:30,Jeudi, ouverture:09:00, fermeture:15:30]","","","Argent comptant,Carte de crédit (MasterCard, Visa),Carte de débit","numéro: 5148723521","produits_geomatiques@montreal.ca","Comptoir de la géomatique","801 rue Brennan","Rez-de-chaussée","H3C0G4","Montréal",-73.553492,45.496046,300619.3,5039570.6
"Patinoire extérieure au parc-école Laurier-MacDonald","https://montreal.ca/lieux/patinoire-exterieure-au-parc-ecole-laurier-macdonald","Certaines informations sont sujettes à changements en fonction des mesures sanitaires en vigueur. Informez-vous avant de vous déplacer.Petits et grands peuvent venir patiner librement.","2021-01-12","2023-08-08","Saint-Léonard","Sportifs et récréatifs","Patinoire","Patinage","Stationnement gratuit","","Culture et sports","Fermeture saisonnière"," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","La patinoire est ouverte si les conditions climatiques le permettent.","","","","","Patinoire extérieure au parc-école Laurier-MacDonald","Rue Terbois",,"H1P1A5","Montréal",-73.588600795708,45.577546166117,297885.3,5048630.3
"Piste d'initiation au ski de fond du parc Ermanno-La Riccia","https://montreal.ca/lieux/piste-dinitiation-au-ski-de-fond-du-parc-ermanno-la-riccia","Vous débutez en ski de fond?Une piste d’initiation de 900 mètres est tracée au parc Ermanno-La Riccia pour vous permettre de vous initier à ce sport en pleine ville!","2021-01-13","2023-08-08","Saint-Léonard","Sportifs et récréatifs","Piste de ski","Ski de fond","","","Culture et sports","Fermeture saisonnière"," Horaire [Lundi, ouverture:06:00, fermeture:19:30,Mardi, ouverture:06:00, fermeture:19:30,Mercredi, ouverture:06:00, fermeture:19:30,Jeudi, ouverture:06:00, fermeture:19:30,Vendredi, ouverture:06:00, fermeture:19:30,Samedi, ouverture:06:00, fermeture:19:30,Dimanche, ouverture:06:00, fermeture:19:30]","Selon les conditions","","","","","Piste d'initiation au ski de fond du parc Ermanno-La Riccia","Rue J.-B.-Martineau",,"H1R0A2","Montréal",-73.619489114724,45.593163913245,295477.3,5050369
"Patinoire extérieure du parc Giuseppe-Garibaldi","https://montreal.ca/lieux/patinoire-exterieure-du-parc-giuseppe-garibaldi","Avant de vous déplacer, consultez les conditions des sites hivernaux.","2021-01-13","2023-04-04","Saint-Léonard","Sportifs et récréatifs","Patinoire","Patinage","Stationnement gratuit","","Culture et sports","Fermeture saisonnière"," Horaire [Lundi, ouverture:06:00, fermeture:23:00,Mardi, ouverture:06:00, fermeture:23:00,Mercredi, ouverture:06:00, fermeture:23:00,Jeudi, ouverture:06:00, fermeture:23:00,Vendredi, ouverture:06:00, fermeture:23:00,Samedi, ouverture:06:00, fermeture:23:00,Dimanche, ouverture:06:00, fermeture:23:00]","La patinoire est ouverte si les conditions climatiques le permettent.","","","","","Patinoire extérieure du parc Giuseppe-Garibaldi","7125, rue Liénart",,"H1S2X9","Montréal",-73.572915237389,45.586114731999,299110.3,5049581.3
"Patinoire réfrigérée du square Cabot","https://montreal.ca/lieux/patinoire-refrigeree-du-square-cabot","Cette patinoire réfrigérée est accessible pour le patin libre.","2021-01-18","2023-06-28","Ville-Marie","Sportifs et récréatifs","Patinoire","Patinage","","","Culture et sports","Fermeture saisonnière"," ","","","","","","Patinoire réfrigérée du square Cabot","2330, rue Sainte-Catherine Ouest",,"H3H1N2","Montréal",-73.583511305054,45.489251177562,298272.3,5038817.5
"Patinoire du parc Gédéon-De Catalogne","https://montreal.ca/lieux/patinoire-du-parc-gedeon-de-catalogne","Vérifiez les conditions avant de vous déplacer.","2021-01-18","2022-06-06","Le Sud-Ouest","Sportifs et récréatifs","Patinoire","Patinage","","Entrée de plain-pied","Culture et sports","Fermeture saisonnière"," ","","","","","","Patinoire du parc Gédéon-De Catalogne","Rue du Square Sir-George-Étienne-Cartier",,"H4C 3R3","Montréal",-73.583325147629,45.471974158776,298284.9,5036897.5
"Patinoires de la polyvalente Saint-Henri","https://montreal.ca/lieux/patinoires-de-la-polyvalente-saint-henri","Règlements générauxLe patinage et le hockey* peuvent uniquement être pratiqués sans encadrement par :• une personne seule• des personnes qui habitent à la même adresse• une personne qui vit seule accompagnée d’une autre personne, en respectant une distance d’au moins 2 mètres* Usage du bâton et de la rondelle uniquementVous trouverez une patinoire à bandes et une patinoire décorative.","2021-01-18","2021-12-28","Le Sud-Ouest","Sportifs et récréatifs","Patinoire","","","","Culture et sports","Ouvert"," ","","","","","","","","","","",-73.588048660386,45.478689691372,297916.4,5037644.2
"Patinoire du parc Saint-Paul","https://montreal.ca/lieux/patinoire-du-parc-saint-paul","Vérifiez les conditions avant de vous déplacer.","2021-01-18","2022-01-03","Le Sud-Ouest","Sportifs et récréatifs","Patinoire","Patinage","","","Culture et sports","Ouvert"," ","","","","","","Patinoire du parc Saint-Paul","Rue Brisset",,"H4E 1M1","Montréal",-73.584773951413,45.461347701879,298170.4,5035716.7
"Butte de glissade du parc Saint-Joseph","https://montreal.ca/lieux/butte-de-glissade-du-parc-saint-joseph","Vérifiez les conditions avant de vous déplacer.","2021-01-19","2022-12-20","Rivière-des-Prairies–Pointe-aux-Trembles","Sportifs et récréatifs","Piste de glissade ","Glissade","","","Culture et sports","Ouvert"," ","","Respectez le nombre de personnes permis par l’accessoire de glisse.Durant la glissade, gardez les pieds et les mains à l’intérieur de l’accessoire de glisse.Il est interdit de glisser en groupe.Il est interdit de glisser tête première.Attendre que la personne vous devançant ait quitté le bas de la butte avant de prendre le départ.Après votre descente, libérez le bas de la pente le plus rapidement possible.Empruntez l’endroit désigné pour remonter la butte.La supervision des parents est fortement recommandée pour les enfants de 10 ans et moins.Un parent doit superviser la glissade des enfants de 6 ans et moins.Le port du casque de sécurité est recommandé pour les jeunes enfants.Il est préférable de pratiquer cette activité en présence d’une autre personne.Il est interdit de glisser en dehors des heures d’ouverture.Aucun écart de conduite ne sera toléré.Sont autorisés :Le tapis de glisse (crazy carpet)La soucoupeLa traîne sauvageLe traîneauLe trois-skisLa pratique de cette activité comporte des risques. Soyez prudent!Toute personne ne respectant pas les consignes pourra être expulsée du site.La Ville de Montréal se dégage de toutes responsabilités advenant une blessure.","","","","Butte de glissade du parc Saint-Joseph","9909, 68e Avenue",,"H1C1W3","Montréal",-73.562393389786,45.661524087255,299937.9,5057961
"Anneau de glace du parc François-Perrault","https://montreal.ca/lieux/anneau-de-glace-du-parc-francois-perrault","Profitez de son sentier glacé pour pratiquer le patinage libre. Un gazébo décoré sur place vous permet de vous installer confortablement pour chausser vos patins.","2021-01-22","2023-03-16","Villeray–Saint-Michel–Parc-Extension","Sportifs et récréatifs","Patinoire","Patinage","Roulotte ou chalet chauffé,Toilettes","Stationnement accessible","Culture et sports","Fermeture saisonnière"," Horaire [Lundi, ouverture:08:30, fermeture:22:30,Mardi, ouverture:08:30, fermeture:22:30,Mercredi, ouverture:08:30, fermeture:22:30,Jeudi, ouverture:08:30, fermeture:22:30,Vendredi, ouverture:08:30, fermeture:22:30,Samedi, ouverture:08:30, fermeture:22:30,Dimanche, ouverture:08:30, fermeture:22:30]","Selon les conditions","","","","","Anneau de glace du parc François-Perrault","7525, rue François-Perrault",,"H2A1M1","Montréal",-73.599436920128,45.561848957269,297037.5,5046886.8
"Patinoire du parc Lacordaire","https://montreal.ca/lieux/patinoire-du-parc-lacordaire","Vérifiez les conditions avant de vous déplacer.","2021-01-26","2022-12-21","Montréal-Nord","Sportifs et récréatifs","Patinoire","Patinage","","","Culture et sports","Ouvert"," Libre [Lundi, ouverture:08:00, fermeture:21:30,Mardi, ouverture:08:00, fermeture:21:30,Mercredi, ouverture:08:00, fermeture:21:30,Jeudi, ouverture:08:00, fermeture:21:30,Vendredi, ouverture:08:00, fermeture:21:30,Samedi, ouverture:08:00, fermeture:21:30,Dimanche, ouverture:08:00, fermeture:21:30]","Selon les conditions météorologiques","Important : l’accès à la patinoire du parc Lacordaire est interdit à toute personne présentant des symptômes de la COVID-19 ou qui se trouve en isolement volontaire ou obligatoire. Vous devez faire l’évaluation de votre état de santé avant de vous présenter sur place.- Le respect des consignes et des mesures de distanciation physique est obligatoire en tout temps.- Apportez votre gourde d’eau","","","","Patinoire du parc Lacordaire","12576, boulevard Lacordaire",,"H1G4L8","Montréal",-73.630893867455,45.616725971631,294591.8,5052988.9
"Butte de glissade du parc Aimé-Léonard","https://montreal.ca/lieux/butte-de-glissade-du-parc-aime-leonard","Si les conditions météo le permettent, vous pouvez aller glisser aux parcs suivants :Henri-BourassaPilonSauvé","2021-02-05","2022-03-29","Montréal-Nord","Sportifs et récréatifs","Piste de glissade ","Glissade","","","Culture et sports","Fermeture saisonnière"," Horaire []","Selon les conditions","","","","","Butte de glissade du parc Aimé-Léonard","4975, boulevard Gouin Est",,"H1G 6J9","Montréal",,,"",""
"Butte de glissade du parc Sauvé","https://montreal.ca/lieux/butte-de-glissade-du-parc-sauve","Vérifiez les conditions avant de vous déplacer.","2021-02-05","2022-12-20","Montréal-Nord","Sportifs et récréatifs","Piste de glissade ","","","","Culture et sports","Fermeture saisonnière"," Horaire []","Selon les conditions","","","","","Butte de glissade du parc Sauvé","11440, avenue Éthier",,"H1H3M6","Montréal",-73.63681618496,45.59983767305,294126.7,5051112.9
"Chalet du parc Dalbé-Viau","https://montreal.ca/lieux/chalet-du-parc-dalbe-viau","Le chalet offre un accès aux toilettes. Durant les heures d’ouverture, un surveillant est présent sur les lieux.","2021-02-09","2023-10-11","Lachine","Parc et jardins","Chalet","","Fontaine d'eau potable,Table à langer,Toilettes","","Culture et sports","Fermeture saisonnière"," Horaire - automne [Lundi, ouverture:17:00, fermeture:22:45,Mardi, ouverture:17:00, fermeture:22:45,Mercredi, ouverture:17:00, fermeture:22:45,Jeudi, ouverture:17:00, fermeture:22:45,Vendredi, ouverture:17:00, fermeture:22:45,Samedi, ouverture:08:30, fermeture:22:30,Dimanche, ouverture:08:30, fermeture:22:30]","Mai à août,Septembre jusqu'à l'Action de grâce","","","numéro: 5146392309","loisirslachine@montreal.ca","Chalet du parc Dalbé-Viau","Rue Esther-Blondin et rue Duff Court",,"","Montréal",-73.680031936608,45.445530681125,290716.9,5033971.3
"Chalet du parc Beauclerk","https://montreal.ca/lieux/chalet-du-parc-beauclerk","Le chalet offre une halte toilettes et une aire de détente.","2021-02-09","2023-06-16","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire d'ouverture [Lundi, ouverture:09:00, fermeture:22:00,Mardi, ouverture:09:00, fermeture:22:00,Mercredi, ouverture:09:00, fermeture:22:00,Jeudi, ouverture:09:00, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:17:00,Samedi, ouverture:09:00, fermeture:17:00,Dimanche, ouverture:09:00, fermeture:17:00]","","","","","","Chalet du parc Beauclerk","1855, avenue Émile-Legrand",,"","Montréal",-73.519909422837,45.580972940675,303246.3,5049007.5
"Chalet du parc Saint-Victor","https://montreal.ca/lieux/chalet-du-parc-saint-victor","Le chalet offre une halte toilettes et une aire de détente.","2021-02-09","2023-06-16","Mercier–Hochelaga-Maisonneuve","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire d'ouverture [Lundi, ouverture:09:00, fermeture:22:00,Mardi, ouverture:09:00, fermeture:22:00,Mercredi, ouverture:09:00, fermeture:22:00,Jeudi, ouverture:09:00, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:17:00,Samedi, ouverture:09:00, fermeture:17:00,Dimanche, ouverture:09:00, fermeture:17:00]","","","","","","Chalet du parc Saint-Victor","9175, rue Hochelaga",,"","Montréal",-73.517511527978,45.607008680349,303434.1,5051900.8
"Chalet du parc Beaubien - Outremont","https://montreal.ca/lieux/chalet-du-parc-beaubien-outremont","Le chalet offre une halte toilettes et une aire de détente.","2021-02-09","2021-06-28","Outremont","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:21:00,Mardi, ouverture:08:00, fermeture:21:00,Mercredi, ouverture:08:00, fermeture:21:00,Jeudi, ouverture:08:00, fermeture:21:00,Vendredi, ouverture:08:00, fermeture:21:00,Samedi, ouverture:08:00, fermeture:21:00,Dimanche, ouverture:08:00, fermeture:21:00]","Selon les conditions","","","","","Chalet du parc Beaubien - Outremont","461, chemin de la Côte-Sainte-Catherine",,"H2V 3H1","Montréal",-73.610348146401,45.516497704801,296178.8,5041848
"Chalet du parc John F.-Kennedy","https://montreal.ca/lieux/chalet-du-parc-john-f-kennedy","Le chalet offre une halte toilettes et une aire de détente.","2021-02-10","2023-10-18","Outremont","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire []","Selon les conditions","","","","","Chalet du parc John F.-Kennedy","Avenue Outremont",,"","Montréal",-73.615917989479,45.521836033939,295744.5,5042441.8
"Chalet du parc Saint-Viateur","https://montreal.ca/lieux/chalet-du-parc-saint-viateur","Le chalet offre une halte toilettes et une aire de détente.","2021-02-10","2021-06-28","Outremont","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:21:00,Mardi, ouverture:08:00, fermeture:21:00,Mercredi, ouverture:08:00, fermeture:21:00,Jeudi, ouverture:08:00, fermeture:21:00,Vendredi, ouverture:08:00, fermeture:21:00,Samedi, ouverture:08:00, fermeture:21:00,Dimanche, ouverture:08:00, fermeture:21:00]","Selon les conditions","","","","","Chalet du parc Saint-Viateur","530, avenue Querbes",,"H2V 3W5","Montréal",-73.606416027985,45.520993914226,296486.7,5042347.2
"Chalet du parc Outremont","https://montreal.ca/lieux/chalet-du-parc-outremont","Le chalet est ouvert tous les jours entre 8 h et 20 h et offre une halte toilettes.","2021-02-10","2023-08-03","Outremont","Parc et jardins","Chalet","","Toilettes","Toilettes accessibles","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:08:00, fermeture:20:00,Mardi, ouverture:08:00, fermeture:20:00,Mercredi, ouverture:08:00, fermeture:20:00,Jeudi, ouverture:08:00, fermeture:20:00,Vendredi, ouverture:08:00, fermeture:20:00,Samedi, ouverture:08:00, fermeture:20:00,Dimanche, ouverture:08:00, fermeture:20:00]","Selon les conditions.","","","","","Chalet du parc Outremont","1172, avenue Saint-Viateur",,"H2V1Z1","Montréal",-73.605144660912,45.518409627528,296585.6,5042059.9
"Chalet du parc Pratt","https://montreal.ca/lieux/chalet-du-parc-pratt","Le chalet est fermé et en rénovation.","2021-02-10","2023-10-18","Outremont","Parc et jardins","Chalet","","","","Culture et sports","Fermeture temporaire"," Horaire []","Selon les conditions","","","","","Chalet du parc Pratt","1801, avenue Lajoie",,"","Montréal",-73.617348590751,45.513687695415,295631.4,5041536.5
"Chalet du parc Joyce","https://montreal.ca/lieux/chalet-du-parc-joyce","Le chalet offre une halte toilettes et une aire de détente.","2021-02-10","2022-07-20","Outremont","Parc et jardins","Chalet","","","","Culture et sports","Fermeture temporaire"," Horaire []","Selon les conditions","","","","","Chalet du parc Joyce","650, avenue Rockland",,"H2V 2Z3","Montréal",-73.614800613366,45.515219675021,295830.7,5041706.4
"Chalet du parc Lacordaire","https://montreal.ca/lieux/chalet-du-parc-lacordaire","ORGANISMES PRÉSENTS SUR PLACE: Club d’âge d’or Parc Lacordaire (horaire variable)","2021-02-10","2023-03-21","Montréal-Nord","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire [Lundi, ouverture:12:00, fermeture:17:00,Mardi, ouverture:12:00, fermeture:17:00,Mercredi, ouverture:12:00, fermeture:17:00,Jeudi, ouverture:12:00, fermeture:17:00,Vendredi, ouverture:12:00, fermeture:17:00,Samedi, ouverture:12:00, fermeture:22:00]","Selon les conditions","","","","","Chalet du parc Lacordaire","11160, boulevard Lacordaire",,"H1T2K5","Montréal",-73.570885,45.582513,299268.4,5049180.9
"Chalet du parc Le Carignan","https://montreal.ca/lieux/chalet-du-parc-le-carignan","Le chalet offre une halte toilettes et une aire de détente.","2021-02-10","2022-01-28","Montréal-Nord","Parc et jardins","Chalet","","","","Culture et sports","Fermeture temporaire"," Horaire [Lundi, ouverture:12:30, fermeture:22:00,Mardi, ouverture:08:00, fermeture:22:00,Mercredi, ouverture:12:30, fermeture:22:00,Jeudi, ouverture:12:30, fermeture:22:00,Vendredi, ouverture:09:00, fermeture:22:00,Samedi, ouverture:09:00, fermeture:22:00,Dimanche, ouverture:09:00, fermeture:22:00]","Selon les conditions","","","","","Chalet du parc Le Carignan","11481, avenue P.-M.-Favier",,"H1G 3X9","Montréal",-73.615870907743,45.609583306205,295762.2,5052193.3
"Chalet du parc Ménard - Montréal-Nord","https://montreal.ca/lieux/chalet-du-parc-menard-montreal-nord","Le chalet offre une halte toilettes et une aire de détente.","2021-02-10","2023-10-18","Montréal-Nord","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire []","Selon les conditions","","","","","Chalet du parc Ménard - Montréal-Nord","3781, place Ménard",,"H1H 5R1","Montréal",-73.639745157204,45.587390358172,293895.8,5049730
"Chalet du parc Monty","https://montreal.ca/lieux/chalet-du-parc-monty","Le chalet offre une halte toilettes et une aire de détente.","2021-02-10","2023-10-18","Montréal-Nord","Parc et jardins","Chalet","","","","Culture et sports","Ouvert"," Horaire []","Selon les conditions","","","","","Chalet du parc Monty","12357, avenue Monty",,"H1G 3N9","Montréal",-73.619869988404,45.621135836955,295452.2,5053477.7
